,denisty,continents,area,population
0,47.0301858495979,africa,24241734,597991266
1,24.667842077633555,North America,27345230,1286051249
2,146.12590264479118,Asia,32132518,4695393197
3,5.102880243769215,Australia,8514939,43450714
4,24.535409993370084,South America,17749848,435499798
5,32.53736754281112,Europe,23002904,748453942
